
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2024-02-01 06:58:16
,"Almacen(es) :,'AREQUIPA'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.820"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
"disco duro 3.5 sata","hdist3400620nsp","disco duro seagate barracuda es, 400gb, sata 3.0gb/s, 7200 rpm, 3.5.[@@@]pull - (usa",18,13.61, ,"","C","seagate"
"disco duro 3.5 sata","hdist4000dm004","disco duro seagate barracuda st4000dm004, 4tb, sata 6.0 gbps, 5400 rpm, 3.5.[@@@]",3,98.99, ,"","F","seagate"
"disco duro 3.5 sata","hdist6000dm003","disco duro seagate barracuda st6000dm003, 6tb, sata 6.0 gb/s, 5400 rpm, 3.5.[@@@]",4,147.23, ,"","F","seagate"
"disco duro 3.5 sata","hditohdwt140uz","disco duro toshiba surveillance s300, 4tb, sata 6.0 gb/s, 5400 rpm, 3.5.[@@@]",19,84.32, ,"","P","toshiba - storage"
"disco duro 3.5 sata","hditon3006tb","disco duro toshiba n300, 6tb nas, sata 6.0gb/s, 7200rpm, 256mb cache, 3.5.[@@@]", ,114.07, ,"","P","toshiba - storage"
"disco duro 3.5 sata","hditos3002tb","disco duro toshiba surveillance s300, 2tb sata 6.0gb/s, 5400rpm, 128mb cache, 3.5.[@", ,48.04, ,"","P","toshiba - storage"
"disco duro 3.5 sata","hdiwd10ezex","disco duro western digital  wd10ezex, capacidad 1tb, sata 6gb/s, formato  3.5<br>", ,44.72, ,"consultar","F","western digital"
"disco duro 3.5 sata","hdiwd10purz","disco duro western digital purple surveillance, 1tb, sata 6.0 gbps, 5400rpm, 64mb, 3.",10,48.74, ,"","P","western digital"
"disco duro 3.5 sata","hdiwd11purz","disco duro western digital wd purple, 1tb, sata 6.0 gb/s, 5400 rpm, 64mb cache, 3.5.",>20,46.83, ,"","P","western digital"
"disco duro 3.5 sata","hdiwd121purp","disco duro western digital wd purple pro 12tb, sata 6.0 gb/s, 256mb cache, 7200 rpm, ",5,289.34, ,"","F","western digital"
"disco duro 3.5 sata","hdiwd43purz","disco duro western digital wd purple, 4tb, sata 6.0 gb/s, 256mb cache, 5400 rpm, 3.5",>20,90.35, ,"","P","western digital"
"disco duro 3.5 sata","hdiwd64purz","disco duro western digital wd purple, 6tb, sata 6.0 gb/s, 5400 rpm, 256mb cache, 3.5",20,138.69, ,"","P","western digital"
"disco duro 3.5 sata","hdiwd85purz","disco duro western digital wd purple, 8tb, sata 6.0 gb/s, 256mb cache, 5640 rpm, 3.5",20,209.54, ,"","P","western digital"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","DISCO DURO EXTERNO","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"disco duro externo","hddhdtp340xk3ca","disco duro externo toshiba canvio ready 4tb, usb 3.0/2.0, plug & play, negro[@@@]",13,94.97, ,"","W","toshiba - storage"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","DISCO DURO EXTERNO 2.5","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"disco duro externo 2.5","hd1toca10xr3aa","1tb canvio advance red - v10",3,44.22, ,"","Y","toshiba - storage"
"disco duro externo 2.5","hd1toca10xw3aa","1tb canvio advance white - v10",1,44.22, ,"","Y","toshiba - storage"
"disco duro externo 2.5","hd2toca20xw3aa","2tb canvio advance white - v10",1,60.30, ,"","Y","toshiba - storage"
"disco duro externo 2.5","hddstkc4000400","disco duro externo portatil seagate one touch stkc4000400, 4 tb, usb 3.2 gen 1, negro",6,105.53, ,"","W","seagate"
"disco duro externo 2.5","hddstkm2000400","disco duro externo portatil seagate expansion stkm2000400, 2 tb, usb 3.0, negro[@@@]",10,67.34, ,"","W","seagate"
"disco duro externo 2.5","hddstkm4000400","disco duro externo portatil seagate expansion stkm4000400, 4 tb, usb 3.0, negro[@@@]",5,95.58, ,"","W","seagate"
"disco duro externo 2.5","hde01twdbuzg1bk","disco duro externo western digital elements portable, 1 tb, usb 3.0, negro.[@@@]",>20,49.75, ,"","F","western digital"
"disco duro externo 2.5","hde02twdbu6y2bk","disco duro externo western digital elements portable, 2 tb, usb 3.0, negro.[@@@]",>20,57.27, ,"","F","western digital"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","DISCO DURO EXTERNO 3.5","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"disco duro externo 3.5","hddstkp6000400","disco duro externo seagate expansion desktop - stkp6000400, 6tb, usb 3.0.[@@@]",2,128.48, ,"","W","seagate"
"disco duro externo 3.5","hddstkp8000400","disco duro externo seagate expansion desktop - stkp8000400, 8tb, usb 3.0.[@@@]",1,164.82, ,"","W","seagate"
"disco duro externo 3.5","hddstlc8000400","disco duro externo seagate one touch hub, stlc8000400, 8tb, usb 3.0 / usb-c[@@@]",2,180.90, ,"","W","seagate"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","DISCO DURO PARA NB SATA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"disco duro para nb sata","hditohdwl110uzs","disco duro toshiba l200, 1tb sata 6.0gb/s, 5400 rpm, 128mb cache, 2.5, 7mm.[@@@]",10,37.08, ,"","F","toshiba - storage"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","DISCO DURO PROPIETARIO","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"disco duro propietario","hddhpj9f42a","disco duro hpe j9f42a, 600gb, sas 6.0, 7200 rpm, sff, sc,2.5.[@@@]",1,625.11, ,"","W","hp enterprise - servidores"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","DISCO SOLIDO EXTERNO(SSD)","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"disco solido externo(ssd)","ssdhp1f5p4aa","unidad de estado solido externo (ssd) portatil hpp500, 1tb, usb-c 3.2 gen 1, color ne",6,74.37, ,"","Y","hp consumo storage"
"disco solido externo(ssd)","ssdhp1f5p6aa","unidad de estado solido externo (ssd) portatil hpp500, 1tb, usb-c 3.2 gen 1, color az",5,74.37, ,"","Y","hp consumo storage"
"disco solido externo(ssd)","ssdhp250g7pd49a","disco duro externo estado sólido hp p500, 250gb, usb 3.1 tipo-c, rojo.[@@@]velocidad ",2,25.13, ,"","P","hp consumo storage"
"disco solido externo(ssd)","ssdhp250g7pd50a","disco duro externo estado sólido hp p500, 250gb, usb 3.1 tipo-c, azul.[@@@]velocidad ",2,25.13, ,"","P","hp consumo storage"
"disco solido externo(ssd)","ssdhp7nl52aa","disco duro externo estado sólido hp p500, 250gb, usb 3.1 tipo-c, negro.[@@@]velocidad",4,25.13, ,"","P","hp consumo storage"
"disco solido externo(ssd)","ssdhp7pd54aa","disco duro externo estado sólido hp p500, 500gb, blue, usb 3.1 tipo-c.[@@@]velocidad ",7,44.22, ,"","Y","hp consumo storage"
"disco solido externo(ssd)","ssdhp7pd55aa","disco duro externo estado sólido hp p500, 500gb, usb 3.1 tipo-c, plata[@@@]velocidad ",1,44.22, ,"","Y","hp consumo storage"
"disco solido externo(ssd)","ssdktxs10001tb","unidad en estado sólido externa kingston xs1000, 1tb, usb 3.2 gen 2 tipo-c[@@@]veloci",3,65.93, ,"","I","kingston"
"disco solido externo(ssd)","ssdktxs20001000","unidad en estado sólido externa kingston xs2000, 1tb, usb 3.2 gen 2x2 tipo-c[@@@]velo",4,96.48, ,"","S","kingston"
"disco solido externo(ssd)","ssdktxs20002000","unidad en estado sólido externa kingston xs2000, 2tb, usb 3.2 gen 2x2 tipo-c[@@@]velo",1,155.78, ,"","S","kingston"
"disco solido externo(ssd)","ssdktxs2000500","unidad en estado sólido externa kingston xs2000, 500gb, usb 3.2 gen 2x2 tipo-c[@@@]ve",4,54.27, ,"","S","kingston"
"disco solido externo(ssd)","ssdstlh1000400","disco duro en estado solido externo seagate expansion 1tb, usb 3.0, usb-c[@@@]",2,153.77, ,"","W","seagate"
"disco solido externo(ssd)","ssdwdelement2tb","disco duro externo western digital elements se ssd portatil, 2tb, usb 3.0.[@@@]", ,138.69, ,"","W","western digital"
"disco solido externo(ssd)","ssdwdelement480","disco duro externo western digital elements se ssd portatil, 480gb, usb 3.0.[@@@]",5,57.79, ,"","W","western digital"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","DVD-WRITER EXTERNO","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"dvd-writer externo","mmcrdvdgp65nb60","dvd supermultil lg gp65nb60, externo, 8x, usb 2.0.[@@@]formatos soportados m-disc / c",>20,24.97, ,"consultar","W","lg electronics"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","DVD-WRITER SATA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"dvd-writer sata","mmcrdvdgh24nsd1","dvd supermulti lg gh24nsd1, 24x, interno, sata.[@@@]formatos soportados: dvd-r (sl/dl",7,13.05, ,"","W","lg electronics"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ESTABILIZADOR DE TENSION","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"estabilizador de tension","psapclsw1200ind","regulador de voltaje automatico apc line-r 1200va, 3 salidas universales, 230v[@@@]re",1,27.94, ,"","W","apc american power conver"
